id,metacritic_score,metacritic_url,ign_score,ign_url,pcgamer_score,pcgamer_url,average
512900,-1,,-1.0,,84.0,https://www.pcgamer.com/streets-of-rogue-review/,84.0
1108370,-1,,-1.0,,-1.0,,-1
1034040,-1,,-1.0,,-1.0,,-1
1003600,-1,,-1.0,,-1.0,,-1
1061730,-1,,-1.0,,-1.0,,-1
895670,-1,,-1.0,,-1.0,,-1
605140,-1,,-1.0,,-1.0,,-1
1156670,-1,,-1.0,,-1.0,,-1
615120,-1,,-1.0,,-1.0,,-1
817540,80.0,https://www.metacritic.com/game/pc/spellforce-3-soul-harvest?ftag=MCD-06-10aaa1f,-1.0,,-1.0,,80.0
907270,-1,,-1.0,,-1.0,,-1
772110,-1,,-1.0,,-1.0,,-1
1147670,-1,,-1.0,,-1.0,,-1
801390,-1,,-1.0,,-1.0,,-1
1034910,-1,,-1.0,,-1.0,,-1
827210,-1,,-1.0,,-1.0,,-1
978690,-1,,-1.0,,-1.0,,-1
1046930,-1,,-1.0,,-1.0,,-1
1192750,-1,,-1.0,,-1.0,,-1
519860,88.0,https://www.metacritic.com/game/pc/dusk?ftag=MCD-06-10aaa1f,-1.0,,89.0,https://www.pcgamer.com/dusk-review/,88.5
700330,-1,,-1.0,,-1.0,,-1
813780,-1,,-1.0,,-1.0,,-1
777130,-1,,-1.0,,-1.0,,-1
1079330,-1,,-1.0,,-1.0,,-1
1068020,-1,,-1.0,,-1.0,,-1
832140,-1,,-1.0,,-1.0,,-1
843380,-1,,-1.0,,-1.0,,-1
993870,-1,,-1.0,,-1.0,,-1
600750,-1,,-1.0,,-1.0,,-1
1115020,-1,,-1.0,,-1.0,,-1
545040,-1,,-1.0,,-1.0,,-1
1162010,-1,,-1.0,,-1.0,,-1
578080,86.0,https://www.metacritic.com/game/pc/playerunknowns-battlegrounds?ftag=MCD-06-10aaa1f,-1.0,,-1.0,,86.0
1181140,-1,,-1.0,,-1.0,,-1
502720,-1,,-1.0,,-1.0,,-1
582010,88.0,https://www.metacritic.com/game/pc/monster-hunter-world?ftag=MCD-06-10aaa1f,9.5,https://www.ign.com/games/monster-hunter-world,86.0,https://www.pcgamer.com/monster-hunter-world-review/,91.0
594650,81.0,https://www.metacritic.com/game/pc/hunt-showdown?ftag=MCD-06-10aaa1f,-1.0,,74.0,https://www.pcgamer.com/hunt-showdown-review/,77.5
652770,-1,,-1.0,,-1.0,,-1
967460,-1,,-1.0,,-1.0,,-1
557180,-1,,-1.0,,-1.0,,-1
1054350,-1,,-1.0,,-1.0,,-1
1155090,-1,,-1.0,,-1.0,,-1
108600,-1,,-1.0,,-1.0,,-1
954270,-1,,-1.0,,-1.0,,-1
1093360,-1,,-1.0,,-1.0,,-1
1163130,-1,,-1.0,,-1.0,,-1
1146100,-1,,-1.0,,-1.0,,-1
421170,81.0,https://www.metacritic.com/game/pc/indivisible?ftag=MCD-06-10aaa1f,8.8,https://www.ign.com/games/indivisible,75.0,https://www.pcgamer.com/indivisible-review/,83.0
476650,64.0,https://www.metacritic.com/game/pc/the-silver-case?ftag=MCD-06-10aaa1f,-1.0,,50.0,https://www.pcgamer.com/the-silver-case-review/,57.0
493490,-1,,-1.0,,-1.0,,-1
359550,-1,,-1.0,,-1.0,,-1
935970,-1,,-1.0,,-1.0,,-1
1108320,-1,,-1.0,,-1.0,,-1
329110,-1,,-1.0,,-1.0,,-1
687630,-1,,-1.0,,-1.0,,-1
1152260,-1,,-1.0,,-1.0,,-1
879000,-1,,-1.0,,-1.0,,-1
1039870,-1,,-1.0,,-1.0,,-1
1017670,-1,,-1.0,,-1.0,,-1
851800,-1,,-1.0,,-1.0,,-1
577970,-1,,-1.0,,-1.0,,-1
1194380,-1,,-1.0,,-1.0,,-1
801140,-1,,-1.0,,-1.0,,-1
1126070,-1,,-1.0,,-1.0,,-1
544390,-1,,-1.0,,-1.0,,-1
731890,-1,,-1.0,,-1.0,,-1
669660,-1,,-1.0,,-1.0,,-1
1054550,-1,,-1.0,,-1.0,,-1
1151430,-1,,-1.0,,-1.0,,-1
809720,-1,,-1.0,,-1.0,,-1
1152020,-1,,-1.0,,-1.0,,-1
677480,-1,,-1.0,,-1.0,,-1
218620,79.0,https://www.metacritic.com/game/pc/payday-2?ftag=MCD-06-10aaa1f,8.0,https://www.ign.com/games/payday-2,79.0,https://www.pcgamer.com/payday-2-review/,79.5
1194330,-1,,-1.0,,-1.0,,-1
1009750,-1,,-1.0,,-1.0,,-1
705160,-1,,-1.0,,-1.0,,-1
1172430,-1,,-1.0,,-1.0,,-1
1011190,-1,,-1.0,,-1.0,,-1
285110,-1,,-1.0,,-1.0,,-1
686810,-1,,-1.0,,-1.0,,-1
917840,-1,,-1.0,,-1.0,,-1
1188260,-1,,-1.0,,-1.0,,-1
671100,-1,,-1.0,,-1.0,,-1
583750,-1,,-1.0,,-1.0,,-1
535930,83.0,https://www.metacritic.com/game/pc/two-point-hospital?ftag=MCD-06-10aaa1f,8.4,https://www.ign.com/games/two-point-hospital,87.0,https://www.pcgamer.com/two-point-hospital-review/,84.5
1170180,-1,,-1.0,,-1.0,,-1
1173610,-1,,-1.0,,-1.0,,-1
1177660,-1,,-1.0,,-1.0,,-1
622440,-1,,-1.0,,-1.0,,-1
1189470,-1,,-1.0,,-1.0,,-1
493900,75.0,https://www.metacritic.com/game/pc/dungeons-3?ftag=MCD-06-10aaa1f,-1.0,,-1.0,,75.0
1079050,-1,,-1.0,,-1.0,,-1
1188330,-1,,-1.0,,-1.0,,-1
592560,-1,,-1.0,,-1.0,,-1
1188430,-1,,-1.0,,-1.0,,-1
1186740,-1,,-1.0,,-1.0,,-1
1179580,-1,,-1.0,,-1.0,,-1
1178120,-1,,-1.0,,-1.0,,-1
1174340,-1,,-1.0,,-1.0,,-1
1170880,-1,,-1.0,,-1.0,,-1
1170320,-1,,-1.0,,-1.0,,-1
1152100,-1,,-1.0,,-1.0,,-1
