id,title,genres,price,image,steam_page,developer,publisher,release_date
386070,Planetary Annihilation: TITANS,Action/Strategy,$39.99,https://steamcdn-a.akamaihd.net/steam/apps/386070/header.jpg?t=1564246041,https://store.steampowered.com/app/386070,Planetary Annihilation Inc,Planetary Annihilation Inc,"Aug 18, 2015"
1106970,Insect Simulator,Adventure/Casual/Indie/RPG/Simulation/Strategy/Early Access,,https://steamcdn-a.akamaihd.net/steam/apps/1106970/header.jpg?t=1570089324,https://store.steampowered.com/app/1106970,Sarah Willsteed,Sarah Willsteed,Unrealeased
837510,Pixel Game Maker MV,Audio Production/Design & Illustration/Education/Utilities/Web Publishing/Game Development,$84.99,https://steamcdn-a.akamaihd.net/steam/apps/837510/header.jpg?t=1572512542,https://store.steampowered.com/app/837510,KADOKAWA CORPORATION,PLAYISM,"Sep 19, 2019"
1158840,记忆重现/Rememory,Adventure/Casual/Indie/RPG,,https://steamcdn-a.akamaihd.net/steam/apps/1158840/header.jpg?t=1572095009,https://store.steampowered.com/app/1158840,深圳市百恩互动娱乐有限公司,湖南快乐芒果互娱科技有限公司,Unrealeased
994500,Sky Racket,Action/Adventure/Casual/Indie,$14.99,https://steamcdn-a.akamaihd.net/steam/apps/994500/header.jpg?t=1572989160,https://store.steampowered.com/app/994500,Double Dash Studios,Double Dash Studios,"Oct 22, 2019"
322330,Don't Starve Together,Adventure/Indie/Simulation,$14.99,https://steamcdn-a.akamaihd.net/steam/apps/322330/header_alt_assets_12.jpg?t=1572569732,https://store.steampowered.com/app/322330,Klei Entertainment,Klei Entertainment,"Apr 21, 2016"
596000,The Shattering,Adventure/Indie,,https://steamcdn-a.akamaihd.net/steam/apps/596000/header.jpg?t=1571092447,https://store.steampowered.com/app/596000,SuperSexySoftware,Deck13,Unrealeased
1184530,Aurora - Hidden Colors,Adventure/Indie/RPG,,https://steamcdn-a.akamaihd.net/steam/apps/1184530/header.jpg?t=1573081930,https://store.steampowered.com/app/1184530,Aurora - Mídia & Games,Aurora - Mídia & Games,Unrealeased
972780,Broomstick League,Action/Indie/Sports/Strategy/Early Access,,https://steamcdn-a.akamaihd.net/steam/apps/972780/header.jpg?t=1569328580,https://store.steampowered.com/app/972780,Virtual Basement LLC,Blue Isle Publishing,Unrealeased
942020,Grimm & Tonic,Adventure/Indie/RPG/Simulation/Early Access,$4.99,https://steamcdn-a.akamaihd.net/steam/apps/942020/header.jpg?t=1564751346,https://store.steampowered.com/app/942020,Spritewrench,Spritewrench,"Oct 4, 2018"
1178000,Ghost Dimension,Action/Casual/Indie/Racing,,https://steamcdn-a.akamaihd.net/steam/apps/1178000/header.jpg?t=1572388714,https://store.steampowered.com/app/1178000,Saulo Rosart,Saulo Rosart,Unrealeased
1179460,HAM-MASTER,Adventure/Casual/Indie,,https://steamcdn-a.akamaihd.net/steam/apps/1179460/header.jpg?t=1572343505,https://store.steampowered.com/app/1179460,STUDIOS MAGMA,STUDIOS MAGMA,Unrealeased
1180940,Spellinkers,Casual/Indie/RPG/Strategy,,https://steamcdn-a.akamaihd.net/steam/apps/1180940/header.jpg?t=1572091694,https://store.steampowered.com/app/1180940,PixLuna Game Studio,PixLuna Game Studio,Unrealeased
637090,BATTLETECH,Action/Adventure/Strategy,$39.99,https://steamcdn-a.akamaihd.net/steam/apps/637090/header.jpg?t=1571473555,https://store.steampowered.com/app/637090,Harebrained Schemes,Paradox Interactive,"Apr 24, 2018"
339600,VEGA Conflict,Free to Play/Massively Multiplayer/Strategy,,https://steamcdn-a.akamaihd.net/steam/apps/339600/header.jpg?t=1569200370,https://store.steampowered.com/app/339600,KIXEYE,KIXEYE,"Dec 14, 2015"
1100620,Football Manager 2020 Touch,Simulation/Sports,$29.99,https://steamcdn-a.akamaihd.net/steam/apps/1100620/header.jpg?t=1572629993,https://store.steampowered.com/app/1100620,Sports Interactive,SEGA,"Nov 19, 2019"
962090,Common'hood,Indie/Simulation,,https://steamcdn-a.akamaihd.net/steam/apps/962090/header.jpg?t=1572991240,https://store.steampowered.com/app/962090,Plethora Project,Plethora Project,Unrealeased
856170,Exo TD,Action/Casual/Indie/Simulation/Strategy/Early Access,$19.99,https://steamcdn-a.akamaihd.net/steam/apps/856170/header.jpg?t=1561502418,https://store.steampowered.com/app/856170,Virtual Classic Studio,Virtual Classic Studio,"Aug 2, 2018"
719040,Wasteland 3,RPG/Strategy,,https://steamcdn-a.akamaihd.net/steam/apps/719040/header.jpg?t=1573003761,https://store.steampowered.com/app/719040,inXile Entertainment,inXile Entertainment,Unrealeased
471710,Rec Room,Action/Adventure/Casual/Free to Play/Massively Multiplayer/Sports/Early Access,,https://steamcdn-a.akamaihd.net/steam/apps/471710/header.jpg?t=1570581759,https://store.steampowered.com/app/471710,Rec Room,Rec Room,"Jun 28, 2016"
943150,Nostos,Action/Adventure/Massively Multiplayer/RPG,,https://steamcdn-a.akamaihd.net/steam/apps/943150/header.jpg?t=1569319563,https://store.steampowered.com/app/943150,NetEase Games,NetEase Games,Unrealeased
1015500,WWE 2K20,Simulation/Sports,$59.99,https://steamcdn-a.akamaihd.net/steam/apps/1015500/header.jpg?t=1572281788,https://store.steampowered.com/app/1015500,Visual Concepts,2K,"Oct 21, 2019"
457140,Oxygen Not Included,Indie/Simulation,$24.99,https://steamcdn-a.akamaihd.net/steam/apps/457140/header.jpg?t=1572634983,https://store.steampowered.com/app/457140,Klei Entertainment,Klei Entertainment,"Jul 30, 2019"
667530,Drunken Wrestlers 2,Action/Casual/Free to Play/Indie/Simulation/Sports/Early Access,,https://steamcdn-a.akamaihd.net/steam/apps/667530/header.jpg?t=1569650986,https://store.steampowered.com/app/667530,Oleg Skutte,Oleg Skutte,"Apr 1, 2019"
1188000,Pulstario,Action/Indie,,https://steamcdn-a.akamaihd.net/steam/apps/1188000/header.jpg?t=1572746163,https://store.steampowered.com/app/1188000,Fred Wood,Fred Wood,Unrealeased
1085390,Angler's Life,Adventure/Indie/Racing/RPG/Simulation/Sports/Early Access,$13.49,https://steamcdn-a.akamaihd.net/steam/apps/1085390/header.jpg?t=1572535981,https://store.steampowered.com/app/1085390,reCore Games,reCore Games,"Oct 31, 2019"
826740,Rise of the Slime,Indie/Early Access,$9.99,https://steamcdn-a.akamaihd.net/steam/apps/826740/header.jpg?t=1572488779,https://store.steampowered.com/app/826740,Bunkovsky Games,Playstack Ltd. ,"Oct 24, 2019"
298610,Ylands,Adventure/Casual/Early Access,$15.00,https://steamcdn-a.akamaihd.net/steam/apps/298610/header.jpg?t=1571227954,https://store.steampowered.com/app/298610,Bohemia Interactive,Bohemia Interactive,"Dec 6, 2017"
319540,A Year Of Rain,Indie/RPG/Strategy/Early Access,$19.99,https://steamcdn-a.akamaihd.net/steam/apps/319540/header.jpg?t=1573062543,https://store.steampowered.com/app/319540,Daedalic Entertainment,Daedalic Entertainment,"Nov 6, 2019"
222520,Champions of Regnum,Free to Play/Indie/Massively Multiplayer/RPG,,https://steamcdn-a.akamaihd.net/steam/apps/222520/header.jpg?t=1569422385,https://store.steampowered.com/app/222520,Nimble Giant Entertainment,Nimble Giant Entertainment,"Feb 27, 2013"
1061880,Conan Chop Chop,Action,,https://steamcdn-a.akamaihd.net/steam/apps/1061880/header.jpg?t=1569416271,https://store.steampowered.com/app/1061880,Mighty Kingdom,Funcom,Unrealeased
1126850,Power,Action/Indie,,https://steamcdn-a.akamaihd.net/steam/apps/1126850/header.jpg?t=1572799526,https://store.steampowered.com/app/1126850,Atomic Lollypop,Pixels Gaming,Unrealeased
993980,梅塔特隆 Metatron,Action/Indie/RPG/Early Access,$15.99,https://steamcdn-a.akamaihd.net/steam/apps/993980/header.jpg?t=1571072516,https://store.steampowered.com/app/993980,Ghost Copy,Ghost Copy,"Jul 17, 2019"
250640,Croixleur Sigma,Action/Indie,,https://steamcdn-a.akamaihd.net/steam/apps/250640/header.jpg?t=1573091929,https://store.steampowered.com/app/250640,souvenir circ.,PLAYISM,"Apr 30, 2014"
693800,Loco Parentis / 孤女咒怨,Action/Adventure/Indie/RPG,$24.99,https://steamcdn-a.akamaihd.net/steam/apps/693800/header.jpg?t=1573091944,https://store.steampowered.com/app/693800,Fair Games Studio,Fair Games Studio,"Sep 19, 2019"
1112790,Automation Empire,Indie/Simulation/Strategy,,https://steamcdn-a.akamaihd.net/steam/apps/1112790/header.jpg?t=1572414208,https://store.steampowered.com/app/1112790,DOG HOGGLER,DOG HOGGLER,Unrealeased
666660,Castles,Adventure/Strategy,$9.99,https://steamcdn-a.akamaihd.net/steam/apps/666660/header.jpg?t=1500071813,https://store.steampowered.com/app/666660,Quicksilver Software,interplay,"Jul 14, 2017"
1056170,SUPERVERSE,Action/Indie/Early Access,,https://steamcdn-a.akamaihd.net/steam/apps/1056170/header.jpg?t=1573066893,https://store.steampowered.com/app/1056170,Superverse Industries,Superverse Industries,Unrealeased
1172120,OCEAN OF BATTLES,Action/Indie/Simulation/Early Access,,https://steamcdn-a.akamaihd.net/steam/apps/1172120/header.jpg?t=1572300960,https://store.steampowered.com/app/1172120,TunaWithSalmon Games,TunaWithSalmon Games,Unrealeased
1068820,OVR Toolkit,Utilities,$11.99,https://steamcdn-a.akamaihd.net/steam/apps/1068820/header.jpg?t=1571160633,https://store.steampowered.com/app/1068820,Curtis English,Curtis English,"Jun 28, 2019"
1152660,Orbital Shipyards,Action/Indie/Simulation/Early Access,,https://steamcdn-a.akamaihd.net/steam/apps/1152660/header.jpg?t=1573091223,https://store.steampowered.com/app/1152660,crazyyivan97,crazyyivan97,Unrealeased
945870,Starcross Arena,Casual/Indie/Early Access,$19.99,https://steamcdn-a.akamaihd.net/steam/apps/945870/header.jpg?t=1542960063,https://store.steampowered.com/app/945870,Digital Hogwash LLC,Digital Hogwash LLC,"Nov 23, 2018"
813780,Age of Empires II: Definitive Edition,Strategy,$19.99,https://steamcdn-a.akamaihd.net/steam/apps/813780/header.jpg?t=1572896378,https://store.steampowered.com/app/813780,Forgotten Empires,Xbox Game Studios,Unrealeased
895670,Armajet,Action,,https://steamcdn-a.akamaihd.net/steam/apps/895670/header.jpg?t=1570563546,https://store.steampowered.com/app/895670,Super Bit Machine,Super Bit Machine,"Oct 8, 2019"
31870,"Nancy Drew® Dossier: Lights, Camera, Curses!",Adventure/Casual,$6.99,https://steamcdn-a.akamaihd.net/steam/apps/31870/header.jpg?t=1573090211,https://store.steampowered.com/app/31870,HeR Interactive,HeR Interactive,"Jul 17, 2009"
453480,Shadowverse CCG,Free to Play/Strategy,,https://steamcdn-a.akamaihd.net/steam/apps/453480/header.jpg?t=1568820414,https://store.steampowered.com/app/453480,"Cygames, Inc.","Cygames, Inc.","Oct 27, 2016"
42200,Nancy Drew® Dossier: Resorting to Danger!,,$6.99,https://steamcdn-a.akamaihd.net/steam/apps/42200/header.jpg?t=1573090344,https://store.steampowered.com/app/42200,HeR Interactive,HeR Interactive,"Nov 19, 2009"
632470,Disco Elysium,RPG,$39.99,https://steamcdn-a.akamaihd.net/steam/apps/632470/header.jpg?t=1572192222,https://store.steampowered.com/app/632470,ZA/UM,ZA/UM,"Oct 15, 2019"
977400,Cell to Singularity - Evolution Never Ends,Casual/Free to Play/Simulation/Early Access,,https://steamcdn-a.akamaihd.net/steam/apps/977400/header.jpg?t=1571089511,https://store.steampowered.com/app/977400,Computer Lunch,Computer Lunch,"Dec 12, 2018"
656030,The Lost Legends of Redwall™ : The Scout,Adventure/Indie,$14.99,https://steamcdn-a.akamaihd.net/steam/apps/656030/header.jpg?t=1560457935,https://store.steampowered.com/app/656030,Soma Games,Soma Games,"Sep 14, 2018"
